Products =  { "kluski" "capellini" "fettucine" };
Resources = { "flour" "eggs" };
Locations = { "L1" "L2" "L3" "L4" "L5" "L6"  };


outsideCost = 
{<"kluski", 0.8 >,       
<"capellini", 0.9 >,      
<"fettucine", 0.4 >};
          
availability =            // resource availability is now location-specific
{<"flour","L1",800000>,
<"flour","L2",1400000>,
<"flour","L3",700000>,
<"flour","L4",700000>,
<"flour","L5",700000>,
<"flour","L6",1000000>,
<"eggs","L1",950000>,
<"eggs","L2",1570000>,
<"eggs","L3",1070000>,
<"eggs","L4",970000>,
<"eggs","L5",870000>,
<"eggs","L6",770000>
};

consumption =                 
{<"kluski","flour",0.5>,     
<"kluski","eggs",0.2>,
<"capellini","flour",0.4>,   
<"capellini","eggs",0.4>,
<"fettucine","flour",0.3>,    
<"fettucine","eggs",0.6>};

insideCost =              // InsideCost is now location specific
{<"kluski","L1",0.6>,
<"kluski","L2",0.7>,
<"kluski","L3",0.7>,
<"kluski","L4",0.65>,
<"kluski","L5",0.67>,
<"kluski","L6",0.53>,
<"capellini","L1",0.8>,
<"capellini","L2",0.7>,
<"capellini","L3",0.6>,
<"capellini","L4",0.65>,
<"capellini","L5",0.7>,
<"capellini","L6",0.55>,
<"fettucine","L1",0.3>,
<"fettucine","L2",0.33>,
<"fettucine","L3",0.35>,
<"fettucine","L4",0.2>,
<"fettucine","L5",0.35>,
<"fettucine","L6",0.3>
};

maxOutsideProduction = 1000000;   // contractual maximum amount that may be outsourced for any product.
maxOutsideFlow = 50;   // contractual maximum amount that may be shipped to any one warehouse.

demand = {
<kluski 2 12>, <kluski 4 5>, <kluski 6 49>, <kluski 8 41>, <kluski 10 3>, 
<kluski 12 10>, <kluski 16 36>, <kluski 18 36>, <kluski 20 44>, <kluski 22 38>, <kluski 24 45>, 
<kluski 26 48>, <kluski 28 30>, <kluski 30 18>, <kluski 32 28>, <kluski 34 16>, <kluski 36 42>, 
<kluski 38 41>, <kluski 40 41>, <kluski 42 15>, <kluski 44 16>, <kluski 46 33>, <kluski 48 10>, 
<kluski 50 22>, <kluski 52 21>, <kluski 54 30>, <kluski 56 47>, <kluski 58 4>, <kluski 60 25>, 
<kluski 62 36>, <kluski 64 37>, <kluski 66 46>, <kluski 68 41>, <kluski 70 36>, <kluski 72 42>, 
<kluski 74 13>, <kluski 76 47>, <kluski 78 48>, <kluski 80 25>, <kluski 82 47>, <kluski 84 3>, 
<kluski 86 8>, <kluski 88 37>, <kluski 90 38>, <kluski 92 48>, <kluski 94 45>, <kluski 96 27>, 
<kluski 98 33>, <kluski 100 45>, <kluski 102 21>, <kluski 104 14>, <kluski 106 27>, <kluski 108 45>, 
<kluski 110 7>, <kluski 112 14>, <kluski 114 2>, <kluski 116 1>, <kluski 118 1>, <kluski 120 20>, 
<kluski 122 19>, <kluski 124 32>, <kluski 126 48>, <kluski 128 34>, <kluski 130 13>, <kluski 132 20>, 
<kluski 134 49>, <kluski 136 27>, <kluski 138 34>, <kluski 140 15>, <kluski 142 18>, <kluski 144 12>, 
<kluski 146 27>, <kluski 148 45>, <kluski 150 20>, <kluski 152 26>, <kluski 154 24>, <kluski 156 29>, 
<kluski 158 37>, <kluski 160 17>, <kluski 162 20>, <kluski 164 27>, <kluski 166 39>, <kluski 168 17>, 
<kluski 170 48>, <kluski 172 12>, <kluski 174 22>, <kluski 176 29>, <kluski 178 30>, <kluski 180 6>, 
<kluski 182 3>, <kluski 184 12>, <kluski 186 32>, <kluski 188 41>, <kluski 190 5>, <kluski 192 12>, 
<kluski 194 18>, <kluski 196 18>, <kluski 198 30>, <kluski 200 14>, <kluski 202 48>, <kluski 204 41>, 
<kluski 206 12>, <kluski 208 29>, <kluski 210 35>, <kluski 212 47>, <kluski 214 6>, <kluski 216 37>, 
<kluski 218 37>, <kluski 220 32>, <kluski 222 6>, <kluski 224 26>, <kluski 226 47>, <kluski 228 12>, 
<kluski 230 43>, <kluski 232 7>, <kluski 234 34>, <kluski 236 41>, <kluski 238 5>, <kluski 240 47>, 
<kluski 242 28>, <kluski 244 16>, <kluski 246 45>, <kluski 248 31>, <kluski 250 21>, <kluski 252 35>, 
<kluski 254 22>, <kluski 256 24>, <kluski 258 32>, <kluski 260 30>, <kluski 262 32>, <kluski 264 3>, 
<kluski 266 33>, <kluski 268 47>, <kluski 270 9>, <kluski 272 29>, <kluski 274 18>, <kluski 276 2>, 
<kluski 278 9>, <kluski 280 14>, <kluski 282 14>, <kluski 284 15>, <kluski 286 2>, <kluski 288 26>, 
<kluski 290 13>, <kluski 292 28>, <kluski 294 31>, <kluski 296 36>, <kluski 298 8>, <kluski 300 22>, 
<kluski 302 9>, <kluski 304 9>, <kluski 306 42>, <kluski 308 34>, <kluski 310 24>, <kluski 312 3>, 
<kluski 314 20>, <kluski 316 9>, <kluski 318 9>, <kluski 320 28>, <kluski 322 47>, <kluski 324 23>, 
<kluski 326 16>, <kluski 328 39>, <kluski 330 33>, <kluski 332 6>, <kluski 334 41>, <kluski 336 49>, 
<kluski 338 25>, <kluski 342 15>, <kluski 344 47>, <kluski 346 46>, <kluski 348 49>, <kluski 350 46>, 
<kluski 352 24>, <kluski 354 19>, <kluski 356 5>, <kluski 358 13>, <kluski 360 5>, <kluski 362 29>, 
<kluski 364 18>, <kluski 366 16>, <kluski 368 43>, <kluski 370 37>, <kluski 372 21>, <kluski 374 38>, 
<kluski 376 31>, <kluski 380 47>, <kluski 382 27>, <kluski 384 14>, <kluski 386 26>, <kluski 388 39>, 
<kluski 390 16>, <kluski 392 43>, <kluski 394 33>, <kluski 396 41>, <kluski 398 20>, <kluski 400 30>, 
<kluski 402 23>, <kluski 404 41>, <kluski 406 5>, <kluski 408 10>, <kluski 410 10>, <kluski 412 9>, 
<kluski 414 18>, <kluski 416 42>, <kluski 420 28>, <kluski 422 46>, <kluski 424 25>, <kluski 426 2>, 
<kluski 430 31>, <kluski 432 17>, <kluski 434 2>, <kluski 436 14>, <kluski 438 11>, <kluski 440 1>, 
<kluski 442 6>, <kluski 444 36>, <kluski 446 21>, <kluski 448 16>, <kluski 450 1>, <kluski 452 7>, 
<kluski 454 23>, <kluski 456 46>, <kluski 458 5>, <kluski 460 16>, <kluski 462 11>, <kluski 464 27>, 
<kluski 466 18>, <kluski 468 19>, <kluski 470 4>, <kluski 472 10>, <kluski 474 9>, <kluski 476 10>, 
<kluski 478 6>, <kluski 480 29>, <kluski 482 27>, <kluski 484 48>, <kluski 486 9>, <kluski 488 24>, 
<kluski 490 48>, <kluski 492 3>, <kluski 494 39>, <kluski 496 31>, <kluski 498 16>, <kluski 500 18>, 
<kluski 502 37>, <kluski 504 46>, <kluski 506 8>, <kluski 508 45>, <kluski 510 36>, <kluski 512 19>, 
<kluski 514 45>, <kluski 516 13>, <kluski 518 41>, <kluski 520 16>, <kluski 522 17>, <kluski 524 33>, 
<kluski 526 22>, <kluski 528 36>, <kluski 530 44>, <kluski 532 13>, <kluski 534 36>, <kluski 536 2>, 
<kluski 538 24>, <kluski 540 48>, <kluski 542 32>, <kluski 544 37>, <kluski 546 35>, <kluski 548 34>, 
<kluski 550 38>, <kluski 552 32>, <kluski 554 7>, <kluski 556 37>, <kluski 558 17>, <kluski 560 47>, 
<kluski 562 1>, <kluski 564 17>, <kluski 566 16>, <kluski 570 27>, <kluski 572 14>, <kluski 574 5>, 
<kluski 576 31>, <kluski 578 42>, <kluski 580 27>, <kluski 582 47>, <kluski 584 17>, <kluski 586 38>, 
<kluski 588 41>, <kluski 590 32>, <kluski 592 9>, <kluski 594 13>, <kluski 596 28>, <kluski 598 7>, 
<kluski 600 17>, <kluski 602 47>, <kluski 604 8>, <kluski 606 15>, <kluski 610 31>, <kluski 612 10>, 
<kluski 614 47>, <kluski 616 35>, <kluski 618 6>, <kluski 620 21>, <kluski 622 48>, <kluski 624 8>, 
